CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate
AS FIRST PROPERTY INVESTMENTS LTD,12484819,,,114-116 GOODMAYES ROAD,,ILFORD,,ENGLAND,IG3 9UZ,Private Limited Company,Active,United Kingdom,NA,26/02/2020,29,2,26/11/2021,,NO ACCOUNTS FILED,26/03/2021,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,0,0,http://business.data.gov.uk/id/company/12484819,,,,,,,,,,,,,,,,,,,,,11/03/2021,
INDEPENDENT NEWS AND MEDIA LTD,01908967,,,39 WELBECK STREET,,LONDON,,ENGLAND,W1G 8DR,Private Limited Company,Active,United Kingdom,NA,26/04/1985,31,12,30/09/2020,28/12/2018,FULL,01/03/2017,01/02/2016,16,2,0,14,58130 - Publishing of newspapers,,,,0,0,http://business.data.gov.uk/id/company/01908967,15/07/2002,INDEPENDENT NEWSPAPERS (UK) LIMITED,,,,,,,,,,,,,,,,,,,11/10/2020,27/09/2019
BUSINESS IT PARTNERSHIP LIMITED,06690765,,,CHARLOTTE HOUSE THE WYVERN BUSINESS PARK,STANIER WAY,DERBY,DERBYSHIRE,,DE21 6BF,Private Limited Company,Active - Proposal to Strike off,United Kingdom,NA,08/09/2008,30,6,31/03/2021,30/06/2019,,06/10/2016,08/09/2015,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/06690765,,,,,,,,,,,,,,,,,,,,,22/09/2020,08/09/2019
RAS DRIVE LIMITED,09695334,,,61 WILLIAM HARRIS WAY,,COLCHESTER,ESSEX,UNITED KINGDOM,CO2 8WJ,Private Limited Company,Active,United Kingdom,NA,21/07/2015,31,7,30/07/2020,31/07/2018,TOTAL EXEMPTION FULL,18/08/2016,,0,0,0,0,49410 - Freight transport by road,53202 - Unlicensed carrier,,,0,0,http://business.data.gov.uk/id/company/09695334,,,,,,,,,,,,,,,,,,,,,03/08/2020,20/07/2019
GIDDYUP PERFORMANCE LTD,09176259,,,STABLE MEWS,RICKFORD,BRISTOL,,ENGLAND,BS40 7AL,Private Limited Company,Active,United Kingdom,NA,14/08/2014,31,8,31/05/2020,31/08/2018,TOTAL EXEMPTION FULL,11/09/2016,14/08/2015,0,0,0,0,75000 - Veterinary activities,,,,0,0,http://business.data.gov.uk/id/company/09176259,,,,,,,,,,,,,,,,,,,,,28/08/2020,14/08/2019
MCKENZIE & CO LTD,07249466,,,44 CORNMILL HOUSE,4 WHARF STREET,LONDON BOROUGH OF GREENWICH,LONDON,,SE8 3FY,Private Limited Company,Active,United Kingdom,NA,11/05/2010,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,08/06/2017,11/05/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,85600 - Educational support services,88990 - Other social work activities without accommodation n.e.c.,,0,0,http://business.data.gov.uk/id/company/07249466,,,,,,,,,,,,,,,,,,,,,25/05/2020,11/05/2019
MAANO ENTERPRISES LTD,10549497,,,POPLARS 99 RHODODENDRON AVENUE,MEOPHAM,GRAVESEND,KENT,UNITED KINGDOM,DA13 0TU,Private Limited Company,Active,United Kingdom,NA,05/01/2017,5,4,05/01/2021,05/04/2019,TOTAL EXEMPTION FULL,02/02/2018,,0,0,0,0,59112 - Video production activities,62020 - Information technology consultancy activities,93199 - Other sports activities,,0,0,http://business.data.gov.uk/id/company/10549497,,,,,,,,,,,,,,,,,,,,,05/01/2021,22/12/2019
THOMAS MOLLOY LIMITED,11741079,,,78 LAVINGTON AVENUE,,CHEADLE,,UNITED KINGDOM,SK8 2HH,Private Limited Company,Active,United Kingdom,NA,24/12/2018,31,12,24/09/2020,,NO ACCOUNTS FILED,21/01/2020,,0,0,0,0,71129 - Other engineering activities,,,,0,0,http://business.data.gov.uk/id/company/11741079,,,,,,,,,,,,,,,,,,,,,16/01/2021,02/01/2020
OAK TREE HOMES TRUST LTD.,09818693,,,JEMPSON'S LIMITED,MAIN STREET,PEASMARSH (NR. RYE),EAST SUSSEX,,TN31 6YD,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,NA,09/10/2015,31,10,31/07/2021,31/10/2019,TOTAL EXEMPTION FULL,06/11/2016,,1,1,0,0,87300 - Residential care activities for the elderly and disabled,,,,0,0,http://business.data.gov.uk/id/company/09818693,18/10/2016,THE OAK TREE HOMES TRUST,,,,,,,,,,,,,,,,,,,22/10/2020,08/10/2019
DP IT CONSULTING LTD,12077994,,,12 GATEWAY MEWS,BOUNDS GREEN,LONDON,,UNITED KINGDOM,N11 2UT,Private Limited Company,Active,United Kingdom,NA,01/07/2019,31,7,01/04/2021,,NO ACCOUNTS FILED,29/07/2020,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12077994,,,,,,,,,,,,,,,,,,,,,14/07/2020,
MORTGAGES MATTERS,NL000017,,,330 UPPER NEWTOWNARDS ROAD,BELFAST,,,,,Limited Partnership,Active,United Kingdom,NA,31/01/2001,31,1,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/NL000017,,,,,,,,,,,,,,,,,,,,,14/02/2017,
ONYI LIMITED,09177046,CAROLINE OJIDU,,39 AVENUE CLAMART,,SCUNTHORPE,,,DN15 8EQ,Private Limited Company,Active,United Kingdom,NA,15/08/2014,31,8,31/05/2021,31/08/2019,UNAUDITED ABRIDGED,12/09/2016,15/08/2015,0,0,0,0,86102 - Medical nursing home activities,,,,0,0,http://business.data.gov.uk/id/company/09177046,,,,,,,,,,,,,,,,,,,,,29/08/2020,15/08/2019
PLATINGNUM PARK LIMITED,05297688,,,40 BATCHWORTH LANE,,NORTHWOOD,MIDDLESEX,,HA6 3DT,Private Limited Company,Active,United Kingdom,NA,26/11/2004,31,3,31/12/2020,31/03/2019,UNAUDITED ABRIDGED,24/12/2016,26/11/2015,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/05297688,,,,,,,,,,,,,,,,,,,,,20/04/2021,06/04/2020
ROSSOS & SON LTD,10872582,,,63 LOVERIDGE ROAD,,LONDON,,UNITED KINGDOM,NW6 2DR,Private Limited Company,Active,United Kingdom,NA,18/07/2017,31,3,31/12/2020,31/03/2019,,15/08/2018,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10872582,,,,,,,,,,,,,,,,,,,,,26/06/2020,12/06/2019
UOOLIKE LTD,11748573,,,20-22 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,Private Limited Company,Active,United Kingdom,NA,03/01/2019,31,1,03/10/2020,,NO ACCOUNTS FILED,31/01/2020,,0,0,0,0,59112 - Video production activities,70210 - Public relations and communications activities,90030 - Artistic creation,,0,0,http://business.data.gov.uk/id/company/11748573,,,,,,,,,,,,,,,,,,,,,03/02/2021,20/01/2020
EDGETECH (UK) LIMITED,08610330,,,STONEBRIDGE HOUSE ROWLEY DRIVE,STONEBRIDGE TRADING ESTATE,COVENTRY,,,CV3 4FG,Private Limited Company,Active,United Kingdom,NA,15/07/2013,31,10,31/10/2020,31/10/2018,FULL,12/08/2016,15/07/2015,2,0,0,2,22190 - Manufacture of other rubber products,,,,0,0,http://business.data.gov.uk/id/company/08610330,,,,,,,,,,,,,,,,,,,,,29/07/2020,15/07/2019
28 CANNON STREET ROAD LIMITED,06839316,,,HIGH BARN CHILLATON,LODDISWELL,KINGSBRIDGE,DEVON,,TQ7 4ER,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,NA,06/03/2009,31,3,31/12/2020,31/03/2019,DORMANT,03/04/2017,06/03/2016,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/06839316,,,,,,,,,,,,,,,,,,,,,20/03/2021,06/03/2020
B B BLURTON LIMITED,07950198,,,SWINFORD HOUSE,ALBION STREET,BRIERLEY HILL,WEST MIDLANDS,,DY5 3EE,Private Limited Company,Active,United Kingdom,NA,15/02/2012,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,15/03/2017,15/02/2016,0,0,0,0,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,0,0,http://business.data.gov.uk/id/company/07950198,,,,,,,,,,,,,,,,,,,,,01/03/2021,15/02/2020
BUD DESIGN & LANDSCAPING LIMITED,09408112,,,64 CHURCHILL ROAD,,SLOUGH,BERKSHIRE,UNITED KINGDOM,SL3 7RB,Private Limited Company,Active,United Kingdom,NA,27/01/2015,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,24/02/2017,27/01/2016,0,0,0,0,81300 - Landscape service activities,,,,0,0,http://business.data.gov.uk/id/company/09408112,,,,,,,,,,,,,,,,,,,,,10/02/2021,27/01/2020
COLLECTMYWASTE LTD,06553915,,,KELSALL HOUSE STAFFORD COURT,STAFFORD PARK 1,TELFORD,SHROPSHIRE,ENGLAND,TF3 3BD,Private Limited Company,Active,United Kingdom,NA,03/04/2008,31,3,31/12/2020,31/03/2019,SMALL,01/05/2017,03/04/2016,0,0,0,0,39000 - Remediation activities and other waste management services,,,,0,0,http://business.data.gov.uk/id/company/06553915,22/04/2016,FUTURVAPE LTD,27/05/2014,BIO2FUEL LTD,25/10/2011,FROM WASTE TO ENERGY LIMITED,23/06/2010,3R EQUIPMENT LIMITED,,,,,,,,,,,,,09/08/2020,26/07/2019
HOLISTIC VET LTD,04592006,,SN13 8JB,THE VETERINARY PRACTICE WADSWICK COUNTRY STORE,WADSWICK,CORSHAM,WILTSHIRE,ENGLAND,SN13 8JB,Private Limited Company,Active,United Kingdom,NA,15/11/2002,30,11,31/08/2020,30/11/2018,TOTAL EXEMPTION FULL,23/09/2016,26/08/2015,0,0,0,0,75000 - Veterinary activities,,,,0,0,http://business.data.gov.uk/id/company/04592006,,,,,,,,,,,,,,,,,,,,,05/09/2020,22/08/2019
HUNGER ZONE LIMITED,11446084,,,84 DERSINGHAM AVENUE,,LONDON,LONDON,UNITED KINGDOM,E12 5QE,Private Limited Company,Active,United Kingdom,NA,03/07/2018,31,7,30/04/2021,31/07/2019,DORMANT,31/07/2019,,0,0,0,0,56102 - Unlicensed restaurants and cafes,,,,0,0,http://business.data.gov.uk/id/company/11446084,,,,,,,,,,,,,,,,,,,,,16/07/2020,02/07/2019
HESKETH TRANSPORT SERVICES LIMITED,11497073,,,129 WOODPLUMPTON ROAD,FULWOOD,PRESTON,,UNITED KINGDOM,PR2 3LF,Private Limited Company,Active,United Kingdom,NA,02/08/2018,31,8,02/05/2020,,NO ACCOUNTS FILED,30/08/2019,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/11497073,,,,,,,,,,,,,,,,,,,,,15/08/2020,01/08/2019
MWH GROUNDWORKS LTD,NI630366,,,18 ROS-NA-RIGH,ISLANDMAGEE,LARNE,,NORTHERN IRELAND,BT40 3UA,Private Limited Company,Active,United Kingdom,NA,31/03/2015,31,1,31/10/2020,31/01/2019,,28/04/2017,31/03/2016,0,0,0,0,43120 - Site preparation,,,,0,0,http://business.data.gov.uk/id/company/NI630366,23/08/2016,J&M CONTRACTS ( NI ) LIMITED,,,,,,,,,,,,,,,,,,,14/04/2020,31/03/2019
RAISTRICK BUSINESS CONSULTANCY SERVICES LIMITED,10992928,,,9 THE MOORINGS,APPERLEY BRIDGE,BD10 0UH,WEST YORKSHIRE,UNITED KINGDOM,BD10 0UH,Private Limited Company,Active,United Kingdom,NA,03/10/2017,31,10,31/07/2021,31/10/2019,TOTAL EXEMPTION FULL,31/10/2018,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/10992928,,,,,,,,,,,,,,,,,,,,,16/10/2020,02/10/2019
TEMPORALL LTD,10633878,,,2ND FLOOR,167-169 GREAT PORTLAND STREET,LONDON,,UNITED KINGDOM,W1W 5PF,Private Limited Company,Active,United Kingdom,NA,22/02/2017,28,2,30/11/2020,28/02/2019,,22/03/2018,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/10633878,,,,,,,,,,,,,,,,,,,,,17/02/2021,03/02/2020
BEAUVILLE DEVELOPMENTS AND PROPERTY SERVICES LIMITED,02155664,,,4 SIDDONS WAY,MOULTON,NORTHAMPTON,,,NN3 7UR,Private Limited Company,Active,United Kingdom,NA,19/08/1987,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,10/10/2016,12/09/2015,3,3,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/02155664,,,,,,,,,,,,,,,,,,,,,26/09/2020,12/09/2019
ARTKO TRANS LIMITED,12169860,,,32 GREENWOOD ROAD,,NORTHAMPTON,,ENGLAND,NN5 5ER,Private Limited Company,Active,United Kingdom,NA,22/08/2019,31,8,22/05/2021,,NO ACCOUNTS FILED,19/09/2020,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/12169860,,,,,,,,,,,,,,,,,,,,,04/09/2020,
STEVE PALMER ELECTRICAL LIMITED,02156760,,,22 CROSS STREET,LONDON,,,,N1 2BG,Private Limited Company,ADMINISTRATION ORDER,United Kingdom,NA,24/08/1987,31,3,31/01/2003,31/03/2001,SMALL,27/11/1994,30/10/1993,2,2,0,0,4531 - Installation electrical wiring etc.,,,,0,0,http://business.data.gov.uk/id/company/02156760,,,,,,,,,,,,,,,,,,,,,13/11/2016,
KERR TUTORING SERVICES LIMITED,SC486058,,,21 OBREE AVENUE,,PRESTWICK,AYRSHIRE,,KA9 2NN,Private Limited Company,Active,United Kingdom,NA,05/09/2014,30,9,30/06/2020,30/09/2018,,03/10/2016,05/09/2015,0,0,0,0,85310 - General secondary education,,,,0,0,http://business.data.gov.uk/id/company/SC486058,,,,,,,,,,,,,,,,,,,,,19/09/2020,05/09/2019
DAVIES SOFTWARE ENGINEERING LTD,06762911,,,12 SWALE DRIVE,CHANDLER'S FORD,EASTLEIGH,,ENGLAND,SO53 4QY,Private Limited Company,Active,United Kingdom,NA,02/12/2008,31,3,31/12/2020,31/03/2019,DORMANT,30/12/2016,02/12/2015,0,0,0,0,62012 - Business and domestic software development,62020 - Information technology consultancy activities,,,0,0,http://business.data.gov.uk/id/company/06762911,,,,,,,,,,,,,,,,,,,,,15/12/2020,01/12/2019
TOTALPRO NURSES LTD,12388117,,,FLAT 2 DYKE ROAD AVENUE,AYLWIN HOUSE 36A,BRIGHTON,,ENGLAND,BN1 5LE,Private Limited Company,Active,United Kingdom,NA,06/01/2020,31,1,06/10/2021,,NO ACCOUNTS FILED,03/02/2021,,0,0,0,0,78200 - Temporary employment agency activities,86102 - Medical nursing home activities,86900 - Other human health activities,,0,0,http://business.data.gov.uk/id/company/12388117,,,,,,,,,,,,,,,,,,,,,25/02/2021,11/02/2020
G2 LEEDS LIMITED,10730048,,,7 MOORHEAD LANE,,SHIPLEY,WEST YORKSHIRE,ENGLAND,BD18 4JH,Private Limited Company,Liquidation,United Kingdom,NA,19/04/2017,30,4,19/01/2019,,NO ACCOUNTS FILED,17/05/2018,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/10730048,,,,,,,,,,,,,,,,,,,,,06/03/2020,21/02/2019
BALOGLU LTD,11931961,,,UNIT 3B BEROL HOUSE,25 ASHLEY ROAD,TOTTENHAM HALE,LONDON,UNITED KINGDOM,N17 9LJ,Private Limited Company,Active,United Kingdom,NA,08/04/2019,31,3,31/12/2021,31/03/2020,TOTAL EXEMPTION FULL,06/05/2020,,0,0,0,0,59111 - Motion picture production activities,"59120 - Motion picture, video and television programme post-production activities",,,0,0,http://business.data.gov.uk/id/company/11931961,25/06/2019,FALLEN ANGEL VFX LTD,18/06/2019,MAVERICK VFX LTD,,,,,,,,,,,,,,,,,21/04/2021,07/04/2020
ARCH CONSTRUCTION SERVICES LTD,11290145,,,27 WINGATE ROAD,,ILFORD,,UNITED KINGDOM,IG1 2JB,Private Limited Company,Active,United Kingdom,NA,04/04/2018,30,4,31/01/2021,30/04/2019,DORMANT,02/05/2019,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",43290 - Other construction installation,,,0,0,http://business.data.gov.uk/id/company/11290145,11/03/2019,M S COMMERCIAL & DOMESTIC BUILDING SERVICES LTD,,,,,,,,,,,,,,,,,,,04/07/2020,20/06/2019
"EVERYTHING IN ITS RIGHT PLACE, LTD",11447287,,,25 CANADA SQUARE,LEVEL 37,LONDON,,UNITED KINGDOM,E14 5LQ,Private Limited Company,Active,United Kingdom,NA,04/07/2018,31,7,04/04/2020,,NO ACCOUNTS FILED,01/08/2019,,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id/company/11447287,24/09/2018,"EVERYTHING IS IN ITS RIGHT PLACE, LTD",,,,,,,,,,,,,,,,,,,11/10/2020,27/09/2019
MARK SAMUEL LIMITED,12446170,,,UNIT 24 HIGHCROFT INDUSTRIAL ESTATE ENTERPRISE ROAD,HORNDEAN,WATERLOOVILLE,HAMPSHIRE,UNITED KINGDOM,PO8 0BT,Private Limited Company,Active,United Kingdom,NA,06/02/2020,29,2,06/11/2021,,NO ACCOUNTS FILED,06/03/2021,,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/12446170,,,,,,,,,,,,,,,,,,,,,19/02/2021,
VENTA GLOBAL LTD,08771117,,,VENTA WEST HILL ROAD NORTH,SOUTH WONSTON,WINCHESTER,HAMPSHIRE,,SO21 3HN,Private Limited Company,Active,United Kingdom,NA,12/11/2013,31,12,30/09/2020,31/12/2018,UNAUDITED ABRIDGED,10/12/2016,12/11/2015,0,0,0,0,46900 - Non-specialised wholesale trade,,,,0,0,http://business.data.gov.uk/id/company/08771117,,,,,,,,,,,,,,,,,,,,,26/11/2020,12/11/2019
ELECKEN LIMITED,12328444,,,7 GRANARD BUSINESS CENTRE,BUNNS LANE,"MILL HILL, LONDON",,UNITED KINGDOM,NW7 2DQ,Private Limited Company,Active,United Kingdom,NA,22/11/2019,30,11,22/08/2021,,NO ACCOUNTS FILED,20/12/2020,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12328444,,,,,,,,,,,,,,,,,,,,,05/12/2020,
DEIGHTON HOLDINGS LIMITED,10749017,,,3 FOXHOLME COURT,,CREWE,CHESHIRE,UNITED KINGDOM,CW1 5HF,Private Limited Company,Active,United Kingdom,NA,02/05/2017,31,5,29/02/2020,31/05/2018,DORMANT,30/05/2018,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,62020 - Information technology consultancy activities,,,0,0,http://business.data.gov.uk/id/company/10749017,,,,,,,,,,,,,,,,,,,,,15/05/2020,01/05/2019
HIGHBEECH DEVELOPMENTS LIMITED,05695814,,,PRESTON PARK HOUSE,SOUTH ROAD,BRIGHTON,EAST SUSSEX,,BN1 6SB,Private Limited Company,Active,United Kingdom,NA,02/02/2006,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,02/03/2017,02/02/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/05695814,,,,,,,,,,,,,,,,,,,,,16/02/2021,02/02/2020
JOINERY FIXING AND FINISHING LIMITED,07942737,,,THE BUSINESS STORE,98-100 HIGH ROAD,RAYLEIGH,,ENGLAND,SS6 7AE,Private Limited Company,Active,United Kingdom,NA,09/02/2012,30,4,31/01/2021,30/04/2019,TOTAL EXEMPTION FULL,09/03/2017,09/02/2016,1,1,0,0,43320 - Joinery installation,,,,0,0,http://business.data.gov.uk/id/company/07942737,,,,,,,,,,,,,,,,,,,,,23/02/2021,09/02/2020
THINK ASSOCIATES LIMITED,05178209,,,1 FRIARY,TEMPLE QUAY,BRISTOL,AVON,,BS1 6EA,Private Limited Company,Active,United Kingdom,NA,13/07/2004,30,6,31/03/2021,30/06/2019,TOTAL EXEMPTION FULL,10/08/2016,13/07/2015,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/05178209,,,,,,,,,,,,,,,,,,,,,15/07/2020,01/07/2019
